Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
10,2,97.0,0.0,0.0
10,4,94.0,0.0,0.0
11,4,97.45454545454545,0.0,0.18181818181818182
12,6,84.16666666666667,0.0,0.3333333333333333
12,6,97.83333333333333,0.0,0.3333333333333333
11,8,101.18181818181819,11.5,0.5454545454545454
12,6,122.08333333333333,11.5,0.6666666666666666
10,8,143.3,7.0,0.7
10,9,150.3,7.0,0.7
11,9,142.54545454545453,7.0,0.8181818181818182
12,9,138.08333333333334,7.0,0.9166666666666666
13,10,127.84615384615384,7.0,1.0
14,9,134.28571428571428,7.0,1.0714285714285714
15,10,127.0,7.0,1.1333333333333333
16,11,121.0,7.0,1.1875
16,11,129.4375,7.2,1.3125
12,11,185.75,8.444444444444445,1.75
12,13,182.75,8.444444444444445,1.75
13,13,156.84615384615384,10.0,2.0
16,12,127.75,10.0,2.0
19,11,112.94736842105263,10.0,2.0
19,11,114.78947368421052,8.142857142857142,2.3157894736842106
18,10,127.83333333333333,8.3125,2.388888888888889
17,12,129.58823529411765,8.11111111111111,2.5294117647058822
17,11,132.88235294117646,7.95,2.6470588235294117
17,12,129.7058823529412,8.363636363636363,2.8823529411764706
16,13,136.0,9.44,3.125
17,13,131.35294117647058,9.76923076923077,3.176470588235294
18,13,129.83333333333334,9.407407407407407,3.2222222222222223
18,12,136.66666666666666,9.0,3.4444444444444446
16,13,139.25,9.142857142857142,4.0625
16,13,142.5625,8.891891891891891,4.25
15,13,150.66666666666666,10.875,4.333333333333333
16,12,152.3125,11.073170731707316,4.3125
17,14,137.05882352941177,11.428571428571429,4.176470588235294
17,13,145.8235294117647,11.428571428571429,4.176470588235294
15,14,156.0,11.6,4.866666666666666
12,13,216.75,13.520833333333334,5.583333333333333
11,12,260.6363636363636,13.693877551020408,6.090909090909091
9,11,348.6666666666667,14.313725490196079,7.0
9,12,356.77777777777777,14.313725490196079,7.0
10,14,304.4,14.313725490196079,6.5
11,13,288.45454545454544,14.313725490196079,6.090909090909091
12,13,272.0833333333333,14.313725490196079,5.75
13,12,267.15384615384613,14.313725490196079,5.461538461538462
13,12,276.38461538461536,14.288461538461538,5.615384615384615
14,13,248.07142857142858,14.288461538461538,5.357142857142857
15,14,231.4,14.288461538461538,5.133333333333334
14,15,241.57142857142858,14.38888888888889,5.214285714285714
14,16,236.21428571428572,14.327272727272728,5.357142857142857
14,16,228.42857142857142,14.714285714285714,5.428571428571429
16,16,198.875,14.714285714285714,5.0
14,16,223.42857142857142,14.711864406779661,5.857142857142857
13,16,239.92307692307693,14.688524590163935,6.384615384615385
13,16,252.30769230769232,14.688524590163935,6.384615384615385
12,17,278.4166666666667,14.935483870967742,6.916666666666667
12,18,283.75,14.935483870967742,6.916666666666667
12,19,280.75,14.935483870967742,6.916666666666667
13,19,255.23076923076923,14.935483870967742,6.538461538461538
14,19,229.0,14.935483870967742,6.214285714285714
15,16,223.13333333333333,14.935483870967742,5.933333333333334
15,14,233.46666666666667,14.935483870967742,5.933333333333334
17,16,179.1764705882353,15.253968253968255,5.470588235294118
20,16,137.8,15.253968253968255,4.95
22,15,126.45454545454545,15.253968253968255,4.681818181818182
22,16,121.95454545454545,15.03125,4.7727272727272725
21,17,123.52380952380952,15.272727272727273,5.095238095238095
20,16,135.7,15.455882352941176,5.4
17,15,162.35294117647058,15.76056338028169,6.352941176470588
17,16,159.35294117647058,15.76056338028169,6.352941176470588
16,16,178.6875,16.02777777777778,6.5625
16,17,168.5625,16.671232876712327,6.6875
15,17,175.93333333333334,17.133333333333333,7.2
14,17,186.57142857142858,17.74025974025974,7.857142857142857
15,17,173.4,17.74025974025974,7.466666666666667
17,18,141.2941176470588,17.74025974025974,6.823529411764706
19,17,123.89473684210526,17.74025974025974,6.315789473684211
18,15,139.27777777777777,19.1625,6.777777777777778
19,17,120.89473684210526,19.28395061728395,6.315789473684211
21,15,121.80952380952381,19.28395061728395,5.904761904761905
20,15,125.05,19.011764705882353,6.35
17,15,142.88235294117646,18.677777777777777,7.705882352941177
17,15,145.64705882352942,18.684782608695652,7.882352941176471
15,15,164.8,18.583333333333332,8.866666666666667
14,15,185.42857142857142,18.26530612244898,9.642857142857142
14,14,202.14285714285714,18.32323232323232,9.785714285714286
14,15,197.85714285714286,18.22,9.928571428571429
11,11,303.0,17.844660194174757,12.636363636363637
11,13,279.72727272727275,17.903846153846153,12.454545454545455
12,14,245.41666666666666,17.933333333333334,11.666666666666666
13,15,221.76923076923077,17.933333333333334,10.923076923076923
13,15,213.53846153846155,17.906542056074766,11.23076923076923
15,16,174.13333333333333,17.906542056074766,10.0
14,17,177.92857142857142,17.623853211009173,10.857142857142858
15,16,179.8,17.623853211009173,10.266666666666667
15,15,190.13333333333333,17.623853211009173,10.266666666666667
15,15,193.8,17.623853211009173,10.266666666666667
15,15,204.13333333333333,17.623853211009173,10.266666666666667
16,16,187.3125,17.623853211009173,9.75
16,15,200.375,17.6,9.875
16,16,195.25,17.666666666666668,10.0
17,15,197.11764705882354,17.666666666666668,9.529411764705882
17,16,183.41176470588235,17.8141592920354,9.705882352941176
11,15,278.45454545454544,17.760330578512395,14.727272727272727
12,13,267.8333333333333,17.760330578512395,13.666666666666666
13,13,258.0,17.760330578512395,12.76923076923077
14,13,238.78571428571428,17.760330578512395,12.0
13,14,255.69230769230768,17.96747967479675,13.076923076923077
14,14,237.5,17.96747967479675,12.285714285714286
16,16,189.8125,17.96747967479675,11.0
17,15,178.7058823529412,17.96747967479675,10.470588235294118
18,15,172.05555555555554,17.96747967479675,10.0
