Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
18,16,73.94444444444444,16.574468085106382,4.833333333333333
17,15,84.47058823529412,16.632653061224488,5.235294117647059
17,15,91.94117647058823,16.86,5.352941176470588
16,15,99.75,16.423076923076923,5.8125
13,16,112.38461538461539,16.160714285714285,7.153846153846154
12,17,113.0,16.103448275862068,7.916666666666667
13,17,105.3076923076923,16.103448275862068,7.461538461538462
13,16,116.15384615384616,16.45762711864407,7.615384615384615
14,17,93.14285714285714,16.3,7.357142857142857
16,17,77.5625,16.3,6.6875
18,18,61.27777777777778,16.3,6.166666666666667
18,16,64.44444444444444,16.43548387096774,6.333333333333333
17,16,63.35294117647059,16.328125,6.705882352941177
16,17,69.25,16.272727272727273,7.1875
15,17,67.33333333333333,15.72463768115942,7.866666666666666
13,17,80.07692307692308,15.472222222222221,9.23076923076923
12,18,82.33333333333333,15.391891891891891,10.166666666666666
9,18,117.11111111111111,15.285714285714286,13.444444444444445
9,18,114.11111111111111,15.285714285714286,13.444444444444445
9,18,111.11111111111111,15.285714285714286,13.444444444444445
9,18,119.22222222222223,15.285714285714286,13.444444444444445
9,17,138.44444444444446,15.285714285714286,13.444444444444445
9,17,146.55555555555554,15.285714285714286,13.444444444444445
9,17,154.66666666666666,15.285714285714286,13.444444444444445
9,16,173.88888888888889,15.285714285714286,13.444444444444445
9,16,182.0,15.285714285714286,13.444444444444445
10,16,168.7,15.285714285714286,12.3
10,15,195.7,15.285714285714286,12.3
9,15,225.44444444444446,15.128205128205128,13.666666666666666
9,17,222.44444444444446,15.128205128205128,13.666666666666666
8,17,259.375,18.9873417721519,13.0
9,18,222.11111111111111,18.9873417721519,11.777777777777779
10,18,193.3,18.9873417721519,10.8
11,18,179.45454545454547,18.9873417721519,10.0
12,17,176.66666666666666,18.9873417721519,9.333333333333334
10,18,207.0,18.4390243902439,11.4
8,17,268.0,18.214285714285715,14.25
8,17,265.0,18.214285714285715,14.25
9,17,228.44444444444446,18.214285714285715,12.88888888888889
10,18,202.5,18.214285714285715,11.8
11,18,174.27272727272728,18.214285714285715,10.909090909090908
13,18,134.84615384615384,18.214285714285715,9.538461538461538
15,18,114.46666666666667,18.214285714285715,8.533333333333333
15,18,119.93333333333334,17.8953488372093,8.8
15,18,114.26666666666667,17.701149425287355,8.933333333333334
16,18,108.625,17.701149425287355,8.5
16,18,110.375,17.829545454545453,8.4375
12,16,159.83333333333334,17.467391304347824,11.25
12,16,161.0,17.49462365591398,11.416666666666666
10,15,209.6,17.63157894736842,13.7
10,16,206.6,17.63157894736842,13.7
9,15,248.55555555555554,17.666666666666668,15.222222222222221
9,14,267.77777777777777,17.666666666666668,15.222222222222221
8,14,323.125,17.5979381443299,17.125
9,16,264.8888888888889,17.5979381443299,15.444444444444445
10,16,246.4,17.5979381443299,14.1
10,15,263.4,17.5979381443299,14.1
11,16,229.27272727272728,17.5979381443299,13.0
12,17,202.41666666666666,17.5979381443299,12.083333333333334
13,17,188.23076923076923,17.5979381443299,11.307692307692308
14,17,169.64285714285714,17.5979381443299,10.642857142857142
17,17,129.64705882352942,17.5979381443299,9.117647058823529
18,15,123.55555555555556,17.489795918367346,8.833333333333334
17,15,127.0,17.31,9.470588235294118
16,16,124.875,17.281553398058254,10.1875
17,17,110.94117647058823,17.281553398058254,9.705882352941176
16,17,114.75,17.182692307692307,10.3125
16,17,111.75,17.182692307692307,10.3125
15,17,122.73333333333333,17.35238095238095,10.933333333333334
14,17,128.28571428571428,17.4811320754717,11.642857142857142
13,17,142.76923076923077,17.588785046728972,12.538461538461538
13,18,129.69230769230768,17.546296296296298,12.692307692307692
13,17,131.76923076923077,17.660550458715598,12.846153846153847
14,18,112.57142857142857,17.660550458715598,12.071428571428571
15,17,114.06666666666666,17.660550458715598,11.4
13,16,134.84615384615384,17.642857142857142,13.307692307692308
13,17,126.6923076923077,17.495575221238937,13.461538461538462
13,16,128.3846153846154,17.55263157894737,13.307692307692308
13,16,123.3076923076923,17.930434782608696,13.461538461538462
14,16,117.35714285714286,17.930434782608696,12.642857142857142
11,16,153.54545454545453,17.672268907563026,15.909090909090908
10,17,165.8,17.583333333333332,17.5
9,15,214.22222222222223,17.99173553719008,19.444444444444443
8,15,262.875,18.131147540983605,21.875
8,17,259.875,18.131147540983605,21.875
9,17,223.44444444444446,18.131147540983605,19.666666666666668
11,18,179.8181818181818,18.131147540983605,16.454545454545453
12,17,165.66666666666666,18.131147540983605,15.25
13,17,150.3846153846154,18.048780487804876,14.384615384615385
14,14,171.07142857142858,18.048780487804876,13.5
14,16,167.07142857142858,17.927419354838708,13.642857142857142
12,15,216.58333333333334,17.8015873015873,15.75
9,16,296.22222222222223,21.186046511627907,18.0
8,17,342.375,21.20769230769231,20.25
8,18,351.875,21.20769230769231,20.25
8,18,348.875,21.20769230769231,20.25
7,18,423.85714285714283,21.290076335877863,23.0
7,18,435.14285714285717,21.290076335877863,23.0
8,18,375.75,21.290076335877863,20.375
9,19,321.44444444444446,21.290076335877863,18.333333333333332
10,19,280.0,21.290076335877863,16.7
12,20,216.0,21.290076335877863,14.25
14,19,188.92857142857142,21.290076335877863,12.5
16,20,155.3125,21.290076335877863,11.1875
18,19,137.27777777777777,21.290076335877863,10.166666666666666
16,19,155.5,21.029850746268657,11.5625
16,17,164.1875,21.02962962962963,11.6875
14,18,182.5,20.834532374100718,13.285714285714286
13,16,214.07692307692307,20.72340425531915,14.384615384615385
12,17,228.75,20.781690140845072,15.583333333333334
9,18,312.22222222222223,20.79310344827586,20.77777777777778
10,18,270.7,20.79310344827586,18.9
11,18,240.54545454545453,20.79310344827586,17.363636363636363
12,18,209.58333333333334,20.79310344827586,16.083333333333332
13,18,185.0,20.79310344827586,15.0
13,18,185.53846153846155,20.753424657534246,15.153846153846153
15,19,148.6,20.753424657534246,13.4
16,19,136.125,20.877551020408163,12.8125
18,19,113.94444444444444,20.877551020408163,11.61111111111111
19,19,102.0,25.10810810810811,9.473684210526315
